user_id	post_name	u_interactions_f	u_text_f	u_topic_c	u_topic_o	u_sentiment_c	u_sentiment_f
29	2295	5	77	8	[0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.7214264273643494, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047, 0.013928678818047047]	2	0.999389
30	2282	6	77	8	[0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.408611536026001, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.012343565933406353, 0.3568606972694397]	2	0.997704
31	2264	5	79	8	[0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.5324875116348267, 0.011961974203586578, 0.04585396870970726, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.061421480029821396, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.011961974203586578, 0.15688346326351166]	2	0.997806
32	2249	5	93	8	[0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.5936025381088257, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.08135277032852173, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.011600404046475887, 0.11623746156692505]	2	0.998513
33	2237	6	88	8	[0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.5336899161338806, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.23726248741149902, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794, 0.01205513533204794]	2	0.98991
34	2226	5	87	8	[0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.5171335339546204, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.012399792671203613, 0.2472703903913498, 0.012399792671203613, 0.012399792671203613]	2	0.994153
35	2219	5	91	8	[0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.48994123935699463, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545, 0.2299998700618744, 0.014739940874278545, 0.014739940874278545, 0.014739940874278545]	2	0.997187
36	2218	5	72	9	[0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.37890106439590454, 0.38409656286239624, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603, 0.01247380767017603]	2	0.99986
37	2216	7	93	8	[0.012558476068079472, 0.012558476068079472, 0.09097281843423843, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.6704161763191223, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472, 0.012558476068079472]	2	0.995488
38	2210	5	94	8	[0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.7603628039360046, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768, 0.011981859803199768]	2	0.998155
