user_id	post_name	u_interactions_f	u_text_f	u_topic_c	u_topic_o	u_sentiment_c	u_sentiment_f
332	6165	83	76	6	[0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.39863649010658264, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.34581732749938965, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365, 0.013449800200760365]	2	0.999701
333	6164	80	356	12	[0.01609545201063156, 0.016095444560050964, 0.016095446422696114, 0.016095444560050964, 0.016095444560050964, 0.016095459461212158, 0.17494526505470276, 0.016095472499728203, 0.016095468774437904, 0.04903562366962433, 0.01609548181295395, 0.01609545201063156, 0.28156498074531555, 0.016095444560050964, 0.016095444560050964, 0.016095561906695366, 0.15206673741340637, 0.08486000448465347, 0.016095444560050964, 0.016095444560050964, 0.016095492988824844]	2	0.988309
334	888	5	394	8	[0.01350326370447874, 0.01350326370447874, 0.01350326370447874, 0.01350328791886568, 0.07415967434644699, 0.01350326370447874, 0.013503266498446465, 0.01350326370447874, 0.5011287927627563, 0.01350326370447874, 0.01350326370447874, 0.01350326370447874, 0.01350326370447874, 0.055779825896024704, 0.01350326370447874, 0.01350326370447874, 0.01350326370447874, 0.01350326370447874, 0.13937614858150482, 0.01350326370447874, 0.013503305613994598]	2	0.999967
335	6163	45	85	9	[0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.15173256397247314, 0.01630636490881443, 0.01630636490881443, 0.26163142919540405, 0.01630636490881443, 0.01630636490881443, 0.07563997805118561, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.01630636490881443, 0.23378784954547882]	2	0.999692
336	6161	57	81	2	[0.014845266938209534, 0.014845279045403004, 0.7030660510063171, 0.014845270663499832, 0.014845255762338638, 0.014845255762338638, 0.014846084639430046, 0.014845255762338638, 0.01484534703195095, 0.014845255762338638, 0.014872925356030464, 0.01484527625143528, 0.014845255762338638, 0.014845255762338638, 0.014845308847725391, 0.014845256693661213, 0.014845293015241623, 0.014845256693661213, 0.014845267869532108, 0.014845255762338638, 0.014845304191112518]	2	0.999989
337	6160	64	98	16	[0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.2244473099708557, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.010871662758290768, 0.5081043839454651, 0.010871662758290768, 0.07175832986831665, 0.010871662758290768, 0.010871662758290768]	2	0.99848
338	6159	78	76	5	[0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.5161200165748596, 0.1966824233531952, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022, 0.01511565875262022]	2	0.999075
339	6157	8	83	5	[0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.13048610091209412, 0.01491949800401926, 0.5213344097137451, 0.014919502660632133, 0.07962851971387863, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.014919498935341835, 0.01491949986666441, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926, 0.01491949800401926]	2	0.999386
340	6158	63	86	6	[0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.3198262155056, 0.40273740887641907, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084, 0.014601913280785084]	2	0.998286
341	525	30	51	1	[0.01881738193333149, 0.6236522793769836, 0.018817387521266937, 0.01881738193333149, 0.01881738193333149, 0.01881738379597664, 0.01881738193333149, 0.01881738379597664, 0.018817385658621788, 0.01881738193333149, 0.01881738193333149, 0.01881738379597664, 0.01881738379597664, 0.01881738193333149, 0.01881738379597664, 0.01881738379597664, 0.01881738379597664, 0.01881738379597664, 0.01881738193333149, 0.01881738379597664, 0.018817385658621788]	1	0.0
342	6156	74	80	3	[0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.5836851000785828, 0.013815537095069885, 0.013815537095069885, 0.15381966531276703, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885, 0.013815537095069885]	2	0.99989
343	6155	82	104	13	[0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.3898639678955078, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.3949219584465027, 0.011327061802148819, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095, 0.011327059008181095]	2	0.999993
344	6154	75	71	6	[0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.22850081324577332, 0.014138356782495975, 0.3850448727607727, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.131963849067688, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975, 0.014138356782495975]	2	0.999973
345	6153	53	57	8	[0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.07781518250703812, 0.015207416377961636, 0.4934115409851074, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207416377961636, 0.015207418240606785, 0.15503975749015808]	2	0.999924
346	6152	76	228	6	[0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.2524658739566803, 0.023447947576642036, 0.023447947576642036, 0.12460821121931076, 0.10486187785863876, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.023447947576642036, 0.1194489449262619, 0.023447947576642036]	2	0.998774
347	6151	82	100	6	[0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.5247015357017517, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.24432922899723053, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882, 0.012156273238360882]	2	0.999305
348	6150	39	365	19	[0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.05132962763309479, 0.09955162554979324, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.01206180825829506, 0.053383808583021164, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.012061807326972485, 0.01206182036548853, 0.590684175491333, 0.012061807326972485]	1	0.0
349	6149	77	67	14	[0.013645806349813938, 0.013645806349813938, 0.18477024137973785, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.18471398949623108, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.3848912715911865, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938, 0.013645806349813938]	2	0.999983
350	6148	72	98	18	[0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.3739171326160431, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.4041132628917694, 0.011682608164846897, 0.011682608164846897]	2	0.999876
351	6147	71	87	6	[0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.4505527913570404, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.3084331750869751, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679, 0.012684948742389679]	2	0.998352
352	6146	85	90	6	[0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.14035719633102417, 0.0124400295317173, 0.0124400295317173, 0.4591701626777649, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.17655210196971893, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173, 0.0124400295317173]	2	0.999815
353	6145	24	116	3	[0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.47757381200790405, 0.014151128008961678, 0.014151128008961678, 0.18361875414848328, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678, 0.08408715575933456, 0.014151128008961678, 0.014151128008961678, 0.014151128008961678]	2	0.999792
354	6144	69	89	7	[0.011800511740148067, 0.011800512671470642, 0.011800512671470642, 0.011800511740148067, 0.011800511740148067, 0.011800512671470642, 0.15681082010269165, 0.4961603283882141, 0.011800511740148067, 0.011800511740148067, 0.011800511740148067, 0.011800511740148067, 0.1346195936203003, 0.011800511740148067, 0.011800531297922134, 0.011800511740148067, 0.011800511740148067, 0.011800512671470642, 0.011800512671470642, 0.011800511740148067, 0.011800511740148067]	0	0.875787
355	6143	80	68	2	[0.01834726519882679, 0.018347278237342834, 0.6330535411834717, 0.018347270786762238, 0.018347252160310745, 0.018347252160310745, 0.018348149955272675, 0.018347252160310745, 0.018347395583987236, 0.018347252160310745, 0.01834730990231037, 0.018347272649407387, 0.018347252160310745, 0.018347252160310745, 0.018347319215536118, 0.018347254022955894, 0.018347296863794327, 0.018347252160310745, 0.01834726519882679, 0.018347252160310745, 0.018347328528761864]	2	0.999025
356	524	36	43	2	[0.021191708743572235, 0.021191708743572235, 0.5761657953262329, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235, 0.021191708743572235]	0	0.971444
357	6142	32	100	16	[0.01593170501291752, 0.01593170501291752, 0.01593170501291752, 0.01593170501291752, 0.08453124016523361, 0.01593170501291752, 0.03900271654129028, 0.01593170501291752, 0.01593170501291752, 0.015931710600852966, 0.015935301780700684, 0.015931708738207817, 0.01593170501291752, 0.01593170501291752, 0.01593170501291752, 0.01593170501291752, 0.589691698551178, 0.015931712463498116, 0.01593170501291752, 0.01593170501291752, 0.01593170501291752]	2	0.958501
358	6140	60	112	0	[0.28847429156303406, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.1652260720729828, 0.14194515347480774, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.013139705173671246, 0.13349339365959167, 0.06062580645084381, 0.013139705173671246]	2	0.999661
359	6139	86	94	6	[0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.518090009689331, 0.012347050942480564, 0.012347050942480564, 0.24731603264808655, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564, 0.012347050942480564]	2	0.999862
360	6137	83	87	6	[0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.45644381642341614, 0.28914180397987366, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281, 0.01339023094624281]	2	0.99995
361	6138	58	265	12	[0.012824168428778648, 0.012824168428778648, 0.012824168428778648, 0.012824168428778648, 0.012824168428778648, 0.012824170291423798, 0.1629672646522522, 0.012824168428778648, 0.012824168428778648, 0.012824168428778648, 0.08051823824644089, 0.012824168428778648, 0.35168251395225525, 0.012824168428778648, 0.08330360054969788, 0.051912691444158554, 0.012824168428778648, 0.012824459932744503, 0.012824168428778648, 0.07725288718938828, 0.012824168428778648]	2	0.968166
362	6136	55	106	6	[0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.7852698564529419, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271, 0.010736505500972271]	2	0.910253
363	6141	84	89	6	[0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.5463615655899048, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.18546012043952942, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265, 0.014114645309746265]	2	0.986455
364	6135	60	239	0	[0.4209255874156952, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.11932844668626785, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.07969360053539276, 0.021114010363817215, 0.021114012226462364, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215, 0.021114129573106766, 0.021114010363817215, 0.021114010363817215, 0.021114010363817215]	2	0.980425
365	6133	54	62	6	[0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.21867486834526062, 0.014762897044420242, 0.014762897044420242, 0.5008300542831421, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242, 0.014762897044420242]	2	0.99743
366	6132	84	71	2	[0.01834726519882679, 0.018347278237342834, 0.6330536007881165, 0.018347270786762238, 0.018347252160310745, 0.018347252160310745, 0.018348149955272675, 0.018347252160310745, 0.018347395583987236, 0.018347252160310745, 0.01834730990231037, 0.018347272649407387, 0.018347252160310745, 0.018347252160310745, 0.01834731362760067, 0.018347254022955894, 0.018347296863794327, 0.018347252160310745, 0.01834726519882679, 0.018347252160310745, 0.018347328528761864]	2	0.999025
367	6129	69	78	6	[0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.5203744769096375, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.24612922966480255, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868, 0.012289277277886868]	2	0.999574
368	6131	23	72	15	[0.013822843320667744, 0.013822843320667744, 0.15419402718544006, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.17073281109333038, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.013822843320667744, 0.369426965713501, 0.013822844251990318, 0.07065785676240921, 0.013822844251990318, 0.013822843320667744, 0.013822843320667744]	2	0.999965
369	6128	22	93	6	[0.013989648781716824, 0.2039209008216858, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.30143967270851135, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824, 0.24282574653625488, 0.013989648781716824, 0.013989648781716824, 0.013989648781716824]	2	0.999523
370	6134	82	105	6	[0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.6306732892990112, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.17835548520088196, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502, 0.010051117278635502]	2	0.999102
371	6130	76	65	6	[0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.39305800199508667, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.3464392125606537, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.013710672967135906, 0.01371067389845848]	2	0.999949
372	6127	57	307	10	[0.013538132421672344, 0.013538132421672344, 0.013538137078285217, 0.013538132421672344, 0.013538132421672344, 0.013538132421672344, 0.01353814359754324, 0.013538241386413574, 0.013538133352994919, 0.013538132421672344, 0.5741303563117981, 0.013538132421672344, 0.013538132421672344, 0.0441146120429039, 0.013538132421672344, 0.013538171537220478, 0.013538132421672344, 0.040058594197034836, 0.013538132421672344, 0.11154799163341522, 0.01353814359754324]	1	0.0
373	880	5	257	20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8000559210777283]	2	0.999985
374	6125	69	102	14	[0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.3387799859046936, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.0859694704413414, 0.011100830510258675, 0.011100830510258675, 0.37543562054634094, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675, 0.011100830510258675]	2	0.99952
375	6126	71	77	6	[0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.21652346849441528, 0.5136871337890625, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199442230165005, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855, 0.014199440367519855]	2	0.999112
376	6124	76	286	6	[0.015173639170825481, 0.015173639170825481, 0.015173639170825481, 0.09971043467521667, 0.015173639170825481, 0.015173639170825481, 0.3553880453109741, 0.015173639170825481, 0.015173639170825481, 0.015173639170825481, 0.015173639170825481, 0.20170485973358154, 0.015173639170825481, 0.015173669904470444, 0.015173639170825481, 0.015173639170825481, 0.015173639170825481, 0.015173639170825481, 0.08524475246667862, 0.015173639170825481, 0.015173639170825481]	2	0.972846
377	523	64	47	1	[0.01680440828204155, 0.6639118194580078, 0.016804412007331848, 0.01680440828204155, 0.01680440828204155, 0.01680440828204155, 0.01680440828204155, 0.0168044101446867, 0.0168044101446867, 0.01680440828204155, 0.01680440828204155, 0.01680440828204155, 0.01680440828204155, 0.01680440828204155, 0.0168044101446867, 0.0168044101446867, 0.01680440828204155, 0.0168044101446867, 0.01680440828204155, 0.0168044101446867, 0.016804412007331848]	1	0.0
378	6123	46	330	6	[0.0182807594537735, 0.0182807594537735, 0.06531184911727905, 0.0182807594537735, 0.0182807594537735, 0.20573855936527252, 0.27873119711875916, 0.0182807594537735, 0.018284915015101433, 0.06110522150993347, 0.01828089915215969, 0.0182807594537735, 0.018280833959579468, 0.0182807594537735, 0.01828094944357872, 0.0182807594537735, 0.0182807594537735, 0.01828078180551529, 0.09661620855331421, 0.01828080788254738, 0.01828090474009514]	0	0.901279
379	6122	69	98	18	[0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.3739137351512909, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.011682608164846897, 0.4041166603565216, 0.011682608164846897, 0.011682608164846897]	2	0.999876
380	6121	63	87	6	[0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.502867579460144, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.2730967700481415, 0.011791349388659, 0.011791349388659, 0.011791349388659, 0.011791349388659]	2	0.996229
381	6120	43	73	3	[0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.5654132962226868, 0.014047226868569851, 0.014047226868569851, 0.16768941283226013, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851, 0.014047226868569851]	2	0.99994
382	6119	43	82	6	[0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.4353196322917938, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.3186281621456146, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347, 0.012950116768479347]	2	0.999986
383	6118	82	77	6	[0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.21757017076015472, 0.014340284280478954, 0.5099644660949707, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954, 0.014340284280478954]	2	0.999696
384	6117	84	73	4	[0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.41990286111831665, 0.014066343195736408, 0.312836617231369, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408, 0.014066343195736408]	2	0.96924
385	6115	49	66	16	[0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.10141324251890182, 0.298225998878479, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.2991708517074585, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426, 0.016732774674892426]	2	0.998875
386	6116	56	64	10	[0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.01714617945253849, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.6570766568183899, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595, 0.017146168276667595]	2	0.999909
387	6112	30	88	5	[0.01190661545842886, 0.01190661545842886, 0.09058341383934021, 0.01190661545842886, 0.01190661545842886, 0.460641086101532, 0.16813161969184875, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.07823140919208527, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886, 0.01190661545842886]	2	0.999994
388	6114	67	73	11	[0.07123105973005295, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.1374031901359558, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.4966545104980469, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078, 0.01637284643948078]	2	0.999974
389	6113	71	76	6	[0.18069271743297577, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.17111726105213165, 0.4027981460094452, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425, 0.013632881455123425]	2	0.999578
390	6111	77	63	6	[0.2512373924255371, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.34207043051719666, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.11640556901693344, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772, 0.016127033159136772]	2	0.999912
391	6110	35	71	18	[0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854448519647121, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.10902942717075348, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.012854447588324547, 0.6467360854148865, 0.012854447588324547, 0.012854447588324547]	2	0.999386
392	6108	66	94	11	[0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.14365501701831818, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.18938559293746948, 0.470495343208313, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212, 0.010914667509496212]	2	0.99998
