item_id	i_posts_f	i_interactions_f	i_friends_f	i_topic_o	i_topic1_c	i_topic1_f	i_topic2_c	i_topic2_f
970	0	49	81901.0	[0.039532218014403264, 0.04184092896781406, 0.03383369464427233, 0.035033038323174934, 0.035892478095329534, 0.0380095383912629, 0.2795159174699564, 0.03101165419710534, 0.02988995328469544, 0.01720292660958913, 0.05743983220689151, 0.02763110230087626, 0.05342933233371194, 0.026046427156852216, 0.047508369523043534, 0.017696364003480698, 0.021450887396171386, 0.03426819813570806, 0.049640960231119274, 0.03267236688763511, 0.04658104342465498]	6.0	0.2795159174699564	10.0	0.05743983220689151
971	0	23	1417.0	[0.016866258021606052, 0.021125427244797997, 0.07044306304305792, 0.05929036402022061, 0.023936079572076382, 0.013535543628360914, 0.32858133384876925, 0.02584100599684145, 0.024916157409872696, 0.018194205654056175, 0.057203643874305744, 0.020752255723852177, 0.07083417568355799, 0.030272809829076996, 0.02762767725178729, 0.0135355436688532, 0.0742181580837654, 0.02916984434199074, 0.041042124771553536, 0.0159600871493635, 0.01665423401509938]	6.0	0.32858133384876925	16.0	0.0742181580837654
972	0	56	6250.0	[0.016312209772877395, 0.03993650018570146, 0.024158557427914014, 0.02972323212972177, 0.03847870541669961, 0.025077230646274984, 0.34623176789110793, 0.019303705510018126, 0.012877715502067335, 0.018063280881116434, 0.07038761400950275, 0.04318394255824387, 0.051659932459837625, 0.03262402326799929, 0.041908416797273924, 0.017439783184922168, 0.02444898189112012, 0.021828423237561116, 0.06273839677617486, 0.03440549362650407, 0.012877698771522514]	6.0	0.34623176789110793	10.0	0.07038761400950275
973	0	15	1033.0	[0.06051651804397504, 0.013965817851324875, 0.013965817851324875, 0.013965817851324875, 0.02403455935418606, 0.02403492039690415, 0.33526112989832957, 0.013965817851324875, 0.013965817851324875, 0.013965817851324875, 0.02009095282604297, 0.07549119063963493, 0.08963122311979532, 0.037749358701209226, 0.029607835598289965, 0.02191172242164612, 0.049299374657372635, 0.013965817851324875, 0.038246905679504076, 0.013965817913413048, 0.08239776579042275]	6.0	0.33526112989832957	12.0	0.08963122311979532
974	0	36	920.0	[0.023395488530190453, 0.03353800862613651, 0.029805238565637007, 0.025064180889684293, 0.028393464654477105, 0.03138265132697092, 0.30605912239601213, 0.0387718064400057, 0.03501652768399152, 0.042085107752225466, 0.06419125036336482, 0.03529364100864364, 0.0448148810925583, 0.02240693369983799, 0.04939323117853039, 0.033160914149549275, 0.05266390218295985, 0.019522870166434184, 0.03676446654006011, 0.03416783450585273, 0.014108473667874932]	6.0	0.30605912239601213	10.0	0.06419125036336482
975	0	25	836.0	[0.0708012730628252, 0.03381848622113466, 0.01733147442340851, 0.03268895585089922, 0.027429544553160667, 0.01603907089680433, 0.32028719048947096, 0.017421951591968535, 0.014039015024900436, 0.020572580695152283, 0.027094083353877068, 0.025403668321669102, 0.03240991700440645, 0.03756954655051231, 0.07463428515940905, 0.04222120840102434, 0.02417399361729622, 0.047509742192924025, 0.03909366741776466, 0.03112515725195408, 0.04074457202106714]	6.0	0.32028719048947096	14.0	0.07463428515940905
976	0	7	1916.0	[0.015775651271854128, 0.015775651005761965, 0.028004877668406283, 0.055544523389211724, 0.015775651005761965, 0.03257354548467057, 0.26487530767917633, 0.015775651005761965, 0.015775651005761965, 0.015775651005761965, 0.05264358102743115, 0.050291209880794795, 0.18207389994391374, 0.02221143458570753, 0.04167719345007624, 0.015775651005761965, 0.02749104691403253, 0.042831314727663994, 0.05780119901256902, 0.015775651670992374, 0.015775651005761965]	6.0	0.26487530767917633	12.0	0.18207389994391374
977	0	52	2595.0	[0.03386304470208975, 0.03113768009755474, 0.029410335074107233, 0.015386478402293645, 0.03599437967372628, 0.03347487640208923, 0.3074782714426804, 0.019641843767693408, 0.02710470902876785, 0.016419572576593894, 0.05468339370921827, 0.05571002840924148, 0.04817344579630746, 0.036112925700413495, 0.06494323855552536, 0.02044535603804084, 0.01738387500294126, 0.03545783248801644, 0.03572925882270703, 0.027806223835796118, 0.05000635990514778]	6.0	0.3074782714426804	14.0	0.06494323855552536
978	0	11	2557.0	[0.05698144986209544, 0.014081421308219433, 0.014081421308219433, 0.0140814245255156, 0.028481057506393303, 0.08039264279333028, 0.3056004365736788, 0.08766030621799556, 0.01755974856628613, 0.02007964075627652, 0.01812001063742421, 0.06079445736990734, 0.04920827563513409, 0.014081421308219433, 0.07578327066519043, 0.014081421308219433, 0.033872806297784504, 0.014081421308219433, 0.03826086748052727, 0.020500791767104107, 0.022215704433619976]	6.0	0.3056004365736788	7.0	0.08766030621799556
979	0	5	261.0	[0.027846330590546132, 0.012716848216950894, 0.012716848216950894, 0.16167437750846148, 0.012716848216950894, 0.012716848216950894, 0.4258094608783722, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.08999592773616313, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.012716848216950894, 0.09120432622730731, 0.012716848216950894, 0.012716848216950894]	6.0	0.4258094608783722	3.0	0.16167437750846148
980	0	10	262.0	[0.014918743260204792, 0.014918744564056396, 0.014918738044798374, 0.014918738789856435, 0.01928734052926302, 0.014918740466237068, 0.3372658622451127, 0.014918738044798374, 0.014918744191527366, 0.03125266581773758, 0.08914554435759783, 0.014918766915798187, 0.11954097971320152, 0.02703422149643302, 0.09619277492165565, 0.01643467117100954, 0.014918739907443523, 0.03720286870375276, 0.014918741956353187, 0.06253690719604492, 0.014918741211295128]	6.0	0.3372658622451127	12.0	0.11954097971320152
981	0	33	544.0	[0.030515862713483246, 0.05307537345497897, 0.036232303884444816, 0.0349801392435576, 0.03854677244795091, 0.05224663496130344, 0.2914365112329974, 0.01538544331649036, 0.018745038122164482, 0.017666224982928146, 0.04285633600683826, 0.02562506070755648, 0.05741211921541077, 0.01829672178648638, 0.03535213406113061, 0.040673142807050186, 0.019858971943683697, 0.03776918004520915, 0.06306867075688911, 0.03352296095567219, 0.027566048965761154]	6.0	0.2914365112329974	18.0	0.06306867075688911
982	0	8	461.0	[0.03762034710962325, 0.10687617515213788, 0.06585418642498553, 0.014977916493080556, 0.01497790648136288, 0.01497790648136288, 0.33186144824139774, 0.014977910672314465, 0.01497790648136288, 0.01497790648136288, 0.12104845943395048, 0.01497790648136288, 0.06327733118087053, 0.01497790648136288, 0.014977906597778201, 0.01497790648136288, 0.014977912069298327, 0.04578466364182532, 0.01497790648136288, 0.01497790648136288, 0.032964572426863015]	6.0	0.33186144824139774	10.0	0.12104845943395048
983	0	18	513.0	[0.03806294738832447, 0.02710942354881101, 0.027254708525207307, 0.023473267029556964, 0.014873738090197245, 0.014873736641473241, 0.3376092361803684, 0.014873736589733098, 0.02155715837660763, 0.01936242398288515, 0.03246221960418754, 0.039087444802539215, 0.036340151344322495, 0.014873736537992954, 0.0615942750333084, 0.034579584944165416, 0.08146724182491501, 0.048864424487368927, 0.042183291994863086, 0.04895486651609341, 0.02054238547053602]	6.0	0.3376092361803684	16.0	0.08146724182491501
984	0	17	283.0	[0.035715070772258675, 0.021497658234747016, 0.021558412241146845, 0.015038564527297722, 0.027582025429343477, 0.04333177170551875, 0.3337084156844546, 0.022500607842469916, 0.027426211382536328, 0.015038564527297722, 0.04122980514212566, 0.05614462073015816, 0.10118162012932931, 0.015038564527297722, 0.06105645537814673, 0.023323083789471316, 0.015038564527297722, 0.05421743366648169, 0.02286771164440057, 0.03146627265959978, 0.015038564582081401]	6.0	0.3337084156844546	12.0	0.10118162012932931
985	0	6	698.0	[0.023715495131909847, 0.08023419479529063, 0.04309319875513514, 0.014572459583481153, 0.01457246004914244, 0.014572459583481153, 0.23132514208555222, 0.014572459583481153, 0.014572459583481153, 0.014572459583481153, 0.014572459583481153, 0.16884153988212347, 0.07897169251615803, 0.014572459583481153, 0.07644670379037659, 0.014572459583481153, 0.032768926893671356, 0.014572459583481153, 0.014572459583481153, 0.014572459583481153, 0.08973359875380993]	6.0	0.23132514208555222	11.0	0.16884153988212347
986	0	5	4387.0	[0.012748372368514537, 0.08705847952514886, 0.02987439017742872, 0.012748372368514537, 0.012748372368514537, 0.012748372368514537, 0.32700588926672935, 0.028237889520823956, 0.06025178097188473, 0.012748372368514537, 0.05584617536514998, 0.033480876497924326, 0.09002745188772679, 0.012748372554779053, 0.05967442560940981, 0.012748372368514537, 0.04491637293249369, 0.012748372368514537, 0.056142535619437696, 0.012748372554779053, 0.012748384289443493]	6.0	0.32700588926672935	12.0	0.09002745188772679
987	0	13	3998.0	[0.059040259856444136, 0.01420875910956126, 0.03895528027071403, 0.13513557175890759, 0.02437717281281948, 0.04197339871181892, 0.19223612604232934, 0.01420875910956126, 0.06631300913599822, 0.01420875910956126, 0.014208765915380074, 0.13002788440252727, 0.06369293302011031, 0.01420875910956126, 0.046095982408867434, 0.019662145525217056, 0.030919430347589347, 0.02577978143325219, 0.026329694530711725, 0.01420875910956126, 0.01420875910956126]	6.0	0.19223612604232934	3.0	0.13513557175890759
988	0	15	5141.0	[0.02119838260114193, 0.08319886898001035, 0.05040430370718241, 0.014064425912996134, 0.032455683189133805, 0.017938824805120625, 0.36993571631610395, 0.01744578784952561, 0.035582223596672215, 0.014064425664643446, 0.03054694669942061, 0.04666479844599962, 0.03982411896189054, 0.04655963151405255, 0.025577088880042235, 0.02543467761327823, 0.036307854826251665, 0.014064425664643446, 0.038347383278111616, 0.014064427837729454, 0.0263200086231033]	6.0	0.36993571631610395	1.0	0.08319886898001035
989	0	43	2046.0	[0.03960379295397636, 0.037257687795127545, 0.02300884147976027, 0.037085239623868185, 0.022656190837191982, 0.026227426996757817, 0.2987526707394525, 0.03315843429503053, 0.02366465787121723, 0.017252440001209114, 0.0555562247673786, 0.04804184183824894, 0.057667170824526354, 0.028159661500086617, 0.023372777434455795, 0.025899502210492312, 0.04794289368789557, 0.028772403377779695, 0.07306376710360826, 0.034101611176549, 0.014899875860401365]	6.0	0.2987526707394525	18.0	0.07306376710360826
990	0	8	897.0	[0.07267537992447615, 0.052556770271621644, 0.014186284621246159, 0.01418629044201225, 0.01418628531973809, 0.014186284621246159, 0.20288288313895464, 0.11068491393234581, 0.020132175530306995, 0.014186289045028389, 0.05379205627832562, 0.07958584639709443, 0.0979847350390628, 0.014186284621246159, 0.08057869574986398, 0.014186284737661481, 0.02396684349514544, 0.014186284621246159, 0.0632968177087605, 0.014186289045028389, 0.014186286949552596]	6.0	0.20288288313895464	7.0	0.11068491393234581
991	0	5	1213.0	[0.02259101960808039, 0.022556356526911257, 0.051662534661591056, 0.13193636555224658, 0.014083923958241939, 0.030002513155341148, 0.2808511544018984, 0.014083923958241939, 0.014083923958241939, 0.014083923958241939, 0.07291788775473833, 0.014083923958241939, 0.09136300347745419, 0.014083923958241939, 0.071018872782588, 0.014083923958241939, 0.06138038337230682, 0.014083923958241939, 0.014083923958241939, 0.014083923958241939, 0.022880671359598637]	6.0	0.2808511544018984	3.0	0.13193636555224658
992	0	23	559.0	[0.03567556984236707, 0.045123575943643635, 0.024809953513676705, 0.03304628667462131, 0.025854250254190487, 0.03391341375106055, 0.28550696786007157, 0.023509255893852398, 0.032544013558198574, 0.024922201490920524, 0.028388598650369957, 0.031006232754367848, 0.0857746084018246, 0.03526912277321453, 0.05224950664231311, 0.021893757031015728, 0.04398865722443746, 0.04764627560001353, 0.053443176712354885, 0.020956197348625763, 0.014478379172151503]	6.0	0.28550696786007157	12.0	0.0857746084018246
993	0	29	5930.0	[0.028098609234238493, 0.02055883876465518, 0.022659558802843094, 0.02886081865892328, 0.025817487966911547, 0.019499730768388714, 0.4048737907974884, 0.022281604337281193, 0.02728762554711309, 0.028747963494267958, 0.017464270815253258, 0.0310761832214635, 0.05679397602918847, 0.019102863293012667, 0.03839532025800697, 0.01732330669745289, 0.025459183412122315, 0.0616172897019263, 0.05329447795219462, 0.0332303327861531, 0.017556773916143794]	6.0	0.4048737907974884	17.0	0.0616172897019263
994	0	5	488.0	[0.012535899505019188, 0.012535899505019188, 0.012535899505019188, 0.012535899505019188, 0.012535899505019188, 0.012535899505019188, 0.33326349407434464, 0.012535899505019188, 0.012535899505019188, 0.11479224842041731, 0.06635602656751871, 0.10405654981732368, 0.08981497902423144, 0.02154599651694298, 0.024137266725301743, 0.012535899505019188, 0.04648324958980084, 0.012535899505019188, 0.012535899505019188, 0.012535899505019188, 0.012535899505019188]	6.0	0.33326349407434464	9.0	0.11479224842041731
995	0	44	1068.0	[0.045100364622405985, 0.04070129709064283, 0.030257378535514527, 0.06953247846104205, 0.026509739839556543, 0.02843403092331507, 0.26348944391462614, 0.018983133327723903, 0.02241198445500975, 0.016633258349346845, 0.0810583117206327, 0.033452710560099644, 0.022527778330682355, 0.026256245476278393, 0.04772272062572566, 0.021272862457077612, 0.06609459517692978, 0.03621809518980709, 0.05457712877118452, 0.013745680260895328, 0.03169932806949047]	6.0	0.26348944391462614	10.0	0.0810583117206327
996	0	10	2000.0	[0.06786095527932048, 0.013383886124938727, 0.013383873272687197, 0.013383859302848577, 0.013383859489113092, 0.01338387792930007, 0.48564950972795484, 0.03762179845944047, 0.013383859395980835, 0.06061484115198255, 0.013383859302848577, 0.052782061882317065, 0.052023401483893394, 0.013383859861642122, 0.025754402857273817, 0.013383859302848577, 0.0237094234675169, 0.013383887615054846, 0.03337719142436981, 0.013383859302848577, 0.013383859302848577]	6.0	0.48564950972795484	0.0	0.06786095527932048
997	0	142	306.0	[0.04553738052130375, 0.03853981261810576, 0.028771253158403953, 0.03924234038297559, 0.03263862081475451, 0.039723996505875825, 0.2751465173910411, 0.02889189345788368, 0.021408744569553037, 0.020916163626218766, 0.05260392223996386, 0.04924601910662063, 0.03232990970677683, 0.03575042439755839, 0.045670631551511694, 0.020107025779049163, 0.055355188974612196, 0.029398385087736477, 0.048405219118674875, 0.03416827730309795, 0.02362601877465634]	6.0	0.2751465173910411	16.0	0.055355188974612196
998	0	32	483.0	[0.02940341434441507, 0.018123027257388458, 0.029742995975539088, 0.08200949436286464, 0.024881667050067335, 0.01802903349744156, 0.3064467420335859, 0.02758373154210858, 0.015758641733555123, 0.03373173045110889, 0.03162828931817785, 0.08102026433334686, 0.029212791327154264, 0.021001131215598434, 0.0420387317717541, 0.03132620677934028, 0.04793332566623576, 0.017494691215688363, 0.06542283407179639, 0.0312272782321088, 0.015983969322405756]	6.0	0.3064467420335859	3.0	0.08200949436286464
999	0	30	3095.0	[0.05580372270196676, 0.053584718983620404, 0.021557005556921163, 0.026480043089638153, 0.049587789457291365, 0.0373427947362264, 0.27326248502358796, 0.039514055009931326, 0.0317158102368315, 0.028687056340277194, 0.03342733780543009, 0.027137941867113113, 0.03128364998847246, 0.03210045971597234, 0.06724966938296954, 0.01913190623745322, 0.0571989259061714, 0.024054776038974525, 0.04954854333773255, 0.025478445800642173, 0.015852856853355964]	6.0	0.27326248502358796	14.0	0.06724966938296954
1000	0	24	961.0	[0.03239445299065361, 0.030608892828846972, 0.01575501433884104, 0.028818371628100675, 0.025835360283963382, 0.02965515390193711, 0.25438384676817805, 0.04326942563056946, 0.03008570013723026, 0.03333270716636131, 0.06653981454049547, 0.04180462041404098, 0.06560980322925995, 0.04448935016989708, 0.04637653190487375, 0.019418360587830346, 0.06842886470258236, 0.030298398885255057, 0.028013156455320615, 0.015755014998527866, 0.04912715327615539]	6.0	0.25438384676817805	16.0	0.06842886470258236
1001	0	8	2786.0	[0.029070816934108734, 0.013379712938331068, 0.06425599288195372, 0.07895903300959617, 0.052546333405189216, 0.013379712938331068, 0.31161052675452083, 0.013379712938331068, 0.013379712938331068, 0.013379712938331068, 0.05069013871252537, 0.04847613978199661, 0.06167913763783872, 0.013379712938331068, 0.030470440164208412, 0.054770107264630497, 0.03461951203644276, 0.013379712938331068, 0.062434386694803834, 0.013379712938331068, 0.013379712938331068]	6.0	0.31161052675452083	3.0	0.07895903300959617
1002	0	9	5323.0	[0.013107433087295957, 0.013107433087295957, 0.061240181119905576, 0.07306970542089807, 0.022892005638115935, 0.060882019292977124, 0.3294447627332475, 0.013107433087295957, 0.013107433087295957, 0.013107433087295957, 0.02742205063501994, 0.013107433087295957, 0.1646506493497226, 0.013107433087295957, 0.013107433087295957, 0.013107433087295957, 0.044170142254895635, 0.013107433087295957, 0.019388263527717855, 0.03756302253653606, 0.028202855856054358]	6.0	0.3294447627332475	12.0	0.1646506493497226
1003	0	32	2274.0	[0.04086772553273477, 0.01806095871143043, 0.018142385641112924, 0.04238313753739931, 0.01877516691456549, 0.05350034451112151, 0.2600801264634356, 0.034909965412225574, 0.03062621728167869, 0.019502020033542067, 0.05972354538971558, 0.06546367533155717, 0.06888716478715651, 0.027807019650936127, 0.04125705626211129, 0.028102582145947963, 0.0636690781393554, 0.040328372415388, 0.017032024275977165, 0.030829324736259878, 0.020052104082424194]	6.0	0.2600801264634356	12.0	0.06888716478715651
1004	0	7	905.0	[0.013452916140002864, 0.013452916140002864, 0.04167648897107158, 0.013452916140002864, 0.052478019281157424, 0.013452916406095028, 0.40459008514881134, 0.03568772293095078, 0.013452916140002864, 0.013452916140002864, 0.07136546434568507, 0.013452916140002864, 0.15764130997870648, 0.013452916140002864, 0.023521412163972855, 0.019036983272859027, 0.02336339679147516, 0.013452959912163871, 0.013452916140002864, 0.02265700644680432, 0.013452916140002864]	6.0	0.40459008514881134	12.0	0.15764130997870648
1005	0	47	1483.0	[0.03089935493041226, 0.04199851530187942, 0.016595614004008313, 0.03711069286107383, 0.03604576980417713, 0.022439177068782613, 0.36149087035037736, 0.038493950454954136, 0.03194503278095037, 0.01423736201955917, 0.033530229999822504, 0.057895544262484035, 0.02502799071767863, 0.04467060444678398, 0.05067913834639686, 0.014237362039374543, 0.037508480865112014, 0.030956724856762177, 0.029199486023726615, 0.016595693424027017, 0.028442401062459387]	6.0	0.36149087035037736	11.0	0.057895544262484035
1006	0	30	1411.0	[0.0469846944945554, 0.05474925103286902, 0.03093899491553505, 0.03856903314590454, 0.053419477430482705, 0.02136199316009879, 0.33746652860815324, 0.017320026457309724, 0.02114770282059908, 0.024806536082178355, 0.022356249298900364, 0.020896185158441462, 0.04282797559474905, 0.02917103565608462, 0.03590446328744292, 0.04547225513185064, 0.046346934015552205, 0.017902033962309362, 0.03913917370761434, 0.021959181347241005, 0.03126027168085178]	6.0	0.33746652860815324	1.0	0.05474925103286902
1007	0	18	261.0	[0.03861754516967469, 0.032506385145501956, 0.012626340457548698, 0.026381021624224052, 0.044111542817619115, 0.04485034989193082, 0.317605107712249, 0.04599896870139572, 0.02291863691061735, 0.018579075319899455, 0.06161407365774115, 0.054449915109823145, 0.03409275246991052, 0.05381685081455442, 0.030632954453014664, 0.012626340561028983, 0.012626340457548698, 0.02007936370662517, 0.05842984462570813, 0.012626342268453704, 0.03590092254388663]	6.0	0.317605107712249	10.0	0.06161407365774115
1008	0	16	1666.0	[0.013117175956722349, 0.013117173220962286, 0.03232253185706213, 0.013117178983520716, 0.015672766137868166, 0.01802566571859643, 0.31917922804132104, 0.06136648514075205, 0.01311717473436147, 0.020376426575239748, 0.06053386197891086, 0.018281727971043438, 0.03726688487222418, 0.01311717217322439, 0.03650453395675868, 0.04267866839654744, 0.05943211721023545, 0.03241981321480125, 0.07078992534661666, 0.09644631569972262, 0.013117173337377608]	6.0	0.31917922804132104	19.0	0.09644631569972262
1009	0	7	4037.0	[0.03662808013281652, 0.04445388141487326, 0.016399727202951908, 0.016399727202951908, 0.046862417965063026, 0.04547250350671155, 0.34223019251866, 0.016399727202951908, 0.016399727202951908, 0.016399727202951908, 0.0766215587833098, 0.016399727202951908, 0.0715990699827671, 0.016399727202951908, 0.016399727202951908, 0.03651927398251636, 0.04296736725206886, 0.016399727202951908, 0.016399727202951908, 0.016399727202951908, 0.0762486517695444]	6.0	0.34223019251866	10.0	0.0766215587833098
1010	0	6	554.0	[0.03683061509703597, 0.01396823317433397, 0.10499003017321229, 0.01396823317433397, 0.01396823317433397, 0.013968234105656544, 0.2410509867283205, 0.01396823317433397, 0.01396823317433397, 0.01396823317433397, 0.013968239072710276, 0.038890940913309656, 0.09159460508575042, 0.01396823317433397, 0.026832417119294405, 0.10583459803213675, 0.013968234416097403, 0.03246611806874474, 0.15389085980132222, 0.01396823317433397, 0.01396823317433397]	6.0	0.2410509867283205	18.0	0.15389085980132222
1011	0	8	3370.0	[0.013850091025233269, 0.013850091956555843, 0.013850091025233269, 0.12302294070832431, 0.013850091025233269, 0.02854824811220169, 0.4979909881949425, 0.013850091025233269, 0.01385009556543082, 0.013850091025233269, 0.04553213692270219, 0.03163853904698044, 0.013850109418854117, 0.013850091025233269, 0.013850091025233269, 0.013850091025233269, 0.04796004155650735, 0.03140579618047923, 0.013850093935616314, 0.013850091025233269, 0.01385010383091867]	6.0	0.4979909881949425	3.0	0.12302294070832431
1012	0	114	296.0	[0.03860089499013204, 0.03423962552557912, 0.024963480150817258, 0.0501092340666474, 0.031920313238770814, 0.02761081333288498, 0.2944945912775502, 0.02478680900183686, 0.02784712417377976, 0.019719603022135664, 0.06725194701402072, 0.04413935291303093, 0.024770188749882214, 0.0326626941300275, 0.05889405387764176, 0.022563001394206493, 0.03787587825699072, 0.028600797996643865, 0.04321146247450981, 0.049384093034620345, 0.01635404271808894]	6.0	0.2944945912775502	10.0	0.06725194701402072
1013	0	25	224.0	[0.015359838716685772, 0.015359839089214802, 0.04953691810369491, 0.049770280085504055, 0.034117057211697104, 0.024461361207067968, 0.30535239711403844, 0.01738865602761507, 0.015359838791191578, 0.015359838791191578, 0.05648682791739702, 0.02210937302559614, 0.03917750757187605, 0.03485696230083704, 0.06665503319352865, 0.04300507415086031, 0.025812055543065072, 0.05351472705602646, 0.06761240173131228, 0.031224398873746395, 0.0174796037748456]	6.0	0.30535239711403844	18.0	0.06761240173131228
1014	0	8	690.0	[0.08269710396416485, 0.025238282280042768, 0.014946660725399852, 0.08031209011096507, 0.033491455251351, 0.029644817695952952, 0.21317239478230476, 0.08363978983834386, 0.014946660725399852, 0.014946660725399852, 0.09357536036986858, 0.014946660725399852, 0.06343825324438512, 0.014946660725399852, 0.014946660841815174, 0.024865279207006097, 0.014946660725399852, 0.014946660725399852, 0.06046978116501123, 0.074935452779755, 0.014946660725399852]	6.0	0.21317239478230476	10.0	0.09357536036986858
1015	0	7	4103.0	[0.013447764462658338, 0.01855937471347196, 0.013447764462658338, 0.0532166368461081, 0.013447764728750502, 0.045430948824754784, 0.33383222775799887, 0.035587099247745106, 0.013447764728750502, 0.024989852415663854, 0.05722904537937471, 0.018139010295271873, 0.06864710285195283, 0.013447764462658338, 0.06026161528591599, 0.013447764728750502, 0.013447764462658338, 0.03642076546592372, 0.12665642412113293, 0.013447764462658338, 0.013447764728750502]	6.0	0.33383222775799887	18.0	0.12665642412113293
1016	0	19	119.0	[0.022472065579342216, 0.013826668213464711, 0.04601248814479301, 0.02847835784287829, 0.05494604769505953, 0.026304169999141442, 0.26967192852967664, 0.013826667821328891, 0.01702583453765041, 0.013826667821328891, 0.03831135118870359, 0.03235324986867214, 0.08195867757067869, 0.01658229887681572, 0.040654806420207024, 0.013826667821328891, 0.0181426542173875, 0.06964515977980275, 0.12370708271076805, 0.013826667821328891, 0.035876272344275525]	6.0	0.26967192852967664	18.0	0.12370708271076805
1017	0	14	317.0	[0.05930903021778379, 0.021363642000194107, 0.01948208541476301, 0.05743827364806618, 0.013862315099686384, 0.10250774185572352, 0.2899450776167214, 0.043704281760645766, 0.013862315099686384, 0.03138553397729993, 0.022761820748980557, 0.013862315099686384, 0.08033872329230819, 0.013862315099686384, 0.07569537325096982, 0.01859979032139693, 0.036754769805286615, 0.013862315166209425, 0.028143253975680897, 0.013862315432301589, 0.029396706859448125]	6.0	0.2899450776167214	5.0	0.10250774185572352
1018	0	13	11814.0	[0.012932125550623123, 0.04249219367137322, 0.02306949941871258, 0.05003167001100687, 0.012932125550623123, 0.03199673967006115, 0.32417487969192177, 0.06628128757270482, 0.012932125550623123, 0.03448782109010678, 0.10969726125208232, 0.048301754089502186, 0.023013903974340513, 0.012932125550623123, 0.0470463467332033, 0.012932125550623123, 0.012932125550623123, 0.051425228253580056, 0.012932125550623123, 0.03278866102202581, 0.012932125550623123]	6.0	0.32417487969192177	10.0	0.10969726125208232
1019	0	29	3593.0	[0.02656311281667701, 0.05165523631048614, 0.022699528566465295, 0.04527975246310234, 0.034464454727953876, 0.024064179028159584, 0.3071302443999669, 0.022898194283760828, 0.015477025913524216, 0.04009737312022982, 0.020135382639950718, 0.04982954536660992, 0.014157660433958316, 0.024368726134557147, 0.048709546472748805, 0.014157660401843745, 0.1023369110349951, 0.022721392166768682, 0.0663403985893418, 0.02336309227193224, 0.01724307817117921]	6.0	0.3071302443999669	16.0	0.1023369110349951
1020	0	10	4555.0	[0.014010988920927048, 0.01401101630181074, 0.01401100242510438, 0.08179908059537411, 0.020583710819482803, 0.053428559098392725, 0.28394506853073836, 0.014010988362133502, 0.014010994508862496, 0.06932143177837133, 0.06108456011861563, 0.03254405576735735, 0.09175050230696798, 0.014010988362133502, 0.08008161950856447, 0.014010988548398018, 0.014010990411043167, 0.014011016674339771, 0.05401361845433712, 0.014010988362133502, 0.031337829865515233]	6.0	0.28394506853073836	12.0	0.09175050230696798
1021	0	153	1517.0	[0.03898258753778303, 0.035068981732953995, 0.028843014227116808, 0.03837685618135664, 0.04672187015876856, 0.026027196939133742, 0.29127111805761174, 0.029613634632303824, 0.02227899878973665, 0.023682225879062626, 0.06459691951940068, 0.035375395345385946, 0.037045390016454106, 0.020891216851381306, 0.04111881528561022, 0.021942333190464507, 0.05095971452400965, 0.023658436637834398, 0.05408544999736002, 0.03589163094247673, 0.03257105772815693]	6.0	0.29127111805761174	10.0	0.06459691951940068
1022	0	6	1174.0	[0.013059832621365786, 0.013059842865914106, 0.013059834484010935, 0.05945685040205717, 0.013059834173570076, 0.03265737524876992, 0.2112781290585796, 0.02707731816917658, 0.09477174825345476, 0.052221329572300114, 0.14151636216168603, 0.013059834639231363, 0.09181463299319148, 0.013059832621365786, 0.013059832621365786, 0.013059832621365786, 0.049833657685667276, 0.013059836501876513, 0.02798076036075751, 0.08079347806051373, 0.013059832621365786]	6.0	0.2112781290585796	10.0	0.14151636216168603
1023	0	14	754.0	[0.050863637389349084, 0.06844661537823933, 0.042552113732589145, 0.03508497388767345, 0.03155853719051395, 0.023599484536264623, 0.32539379763017806, 0.015200537695948566, 0.043865364377519915, 0.015200537695948566, 0.07511762103864125, 0.015200537695948566, 0.03163233093385186, 0.015200537695948566, 0.02747327308835728, 0.015200537695948566, 0.03754254397270935, 0.05376941418009145, 0.04669651994481683, 0.015200537695948566, 0.015200537695948566]	6.0	0.32539379763017806	10.0	0.07511762103864125
1024	0	12	174.0	[0.015638181939721107, 0.05109717301093042, 0.024338772830863793, 0.048429846530780196, 0.01563817945619424, 0.05248886323533952, 0.2401489115630587, 0.015638181784500677, 0.01563818147405982, 0.031113915766278904, 0.0630888269127657, 0.04333933947297434, 0.07713804099087913, 0.01563817945619424, 0.05223648622632027, 0.015638189235081274, 0.058701493234063186, 0.0707670320601513, 0.062005829997360706, 0.01563817945619424, 0.0156381834919254]	6.0	0.2401489115630587	12.0	0.07713804099087913
1025	0	53	1375.0	[0.03417199166526772, 0.04078759142320673, 0.031232188174606493, 0.036933309627029134, 0.030854343700240244, 0.03400571695265343, 0.32328137611302565, 0.02603516674969556, 0.025052166895343446, 0.01965503870808291, 0.0401428292487871, 0.04647324278177518, 0.0461765647039942, 0.03362525061194627, 0.05531721781798691, 0.018481230046951545, 0.028961998182085325, 0.0190644882057073, 0.06710565269415109, 0.02347228677837916, 0.019170347847185045]	6.0	0.32328137611302565	18.0	0.06710565269415109
