item_id	i_posts_f	i_interactions_f	i_friends_f	i_topic_o	i_topic1_c	i_topic1_f	i_topic2_c	i_topic2_f
11	0	5	5530.0	[0.007614495605230332, 0.007614495605230332, 0.007614495605230332, 0.007614495605230332, 0.007614495605230332, 0.007614495605230332, 0.05374720562249422, 0.10706097073853016, 0.237794972024858, 0.007614495791494846, 0.007614495605230332, 0.02909976653754711, 0.007614495791494846, 0.007614495605230332, 0.016774176247417928, 0.014662052132189273, 0.007614495791494846, 0.024550629407167436, 0.028112010285258292, 0.007614495605230332, 0.32376496884971856]	20.0	0.32376496884971856	8.0	0.237794972024858
12	0	22	315.0	[0.02896288651126352, 0.05005498264323582, 0.014234287198632956, 0.06709422873841091, 0.02057394457303665, 0.04571786196902394, 0.20559162240136752, 0.05520959744568576, 0.04907339379530062, 0.014234286944635889, 0.07228588020767678, 0.09948849953203039, 0.01979828312654387, 0.058909325818107885, 0.03776715530759909, 0.022740952331911434, 0.029815011996437202, 0.05414725603027777, 0.014234286986968735, 0.01806411473080516, 0.022002133583142]	6.0	0.20559162240136752	11.0	0.09948849953203039
13	0	6	269.0	[0.010557824900994698, 0.01055783312767744, 0.0183307317396005, 0.010557824745774269, 0.010561530633519093, 0.021633089364816744, 0.01055782629797856, 0.024248778043935697, 0.3263609657684962, 0.015611459035426378, 0.026204476598650217, 0.010557825056215128, 0.010557824745774269, 0.015211023855954409, 0.010557825211435556, 0.010557824745774269, 0.10197928035631776, 0.10692760519062479, 0.010557825211435556, 0.015514076842616001, 0.19480676235010227]	8.0	0.3263609657684962	20.0	0.19480676235010227
14	0	5	907.0	[0.012819382175803185, 0.012819382175803185, 0.02850225064903498, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.5239584803581238, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.0578608525916934, 0.012819382175803185, 0.012819382175803185, 0.012819382175803185, 0.055871368013322355, 0.05979350171983242, 0.012819382175803185, 0.08172280844300986]	8.0	0.5239584803581238	20.0	0.08172280844300986
15	0	8	1843.0	[0.028010270441882312, 0.07281903945840895, 0.023043429711833596, 0.013241636799648404, 0.013241636799648404, 0.013241636799648404, 0.15485632058698684, 0.013241636916063726, 0.311671762377955, 0.02273044059984386, 0.013241636799648404, 0.05091951985377818, 0.013241636799648404, 0.013241636799648404, 0.01896643720101565, 0.017646359628997743, 0.013241637614555657, 0.01915132498834282, 0.013241636799648404, 0.14188339153770357, 0.019126987433992326]	8.0	0.311671762377955	6.0	0.15485632058698684
16	0	115	111.0	[0.024870951894832693, 0.011970995301785676, 0.008599542267620563, 0.009471351847700451, 0.014985048989562884, 0.011188777066443277, 0.01122106540462245, 0.005946495351584061, 0.41199984476780116, 0.008955748354935128, 0.014520390509911205, 0.008484936481260735, 0.00911546835432882, 0.00923815755902425, 0.007837564392906168, 0.00943821760137444, 0.016947237750434357, 0.013755966228959353, 0.01454162054249774, 0.006936185952761899, 0.2777208343229216]	8.0	0.41199984476780116	20.0	0.2777208343229216
17	0	8	492.0	[0.02567588584497571, 0.11515571619383991, 0.020567846950143576, 0.020567842992022634, 0.020567969186231494, 0.051313035073690116, 0.02056784275919199, 0.02056785544846207, 0.020567899686284363, 0.020567843224853277, 0.030544890789315104, 0.02056784275919199, 0.020567849976941943, 0.061887450283393264, 0.020567843806929886, 0.0468248164979741, 0.020567847066558897, 0.027169393375515938, 0.028890819987282157, 0.020567842992022634, 0.3657236732542515]	20.0	0.3657236732542515	1.0	0.11515571619383991
18	0	8	13664.0	[0.018036096822470427, 0.03646377380937338, 0.0180375212803483, 0.01803609705530107, 0.02945251064375043, 0.03730604879092425, 0.01803610217757523, 0.018036109511740506, 0.018036145251244307, 0.018036108696833253, 0.018036104389466345, 0.018036096822470427, 0.018036098452284932, 0.048037826316431165, 0.02214038895908743, 0.053344447165727615, 0.018036102526821196, 0.024637643480673432, 0.026359072420746088, 0.018036097986623645, 0.5058235991746187]	20.0	0.5058235991746187	15.0	0.053344447165727615
19	0	7	2078.0	[0.013350647341992174, 0.013350646676761764, 0.036820359128926484, 0.013350646676761764, 0.027607454918324947, 0.013350646676761764, 0.08983796143106051, 0.013350646676761764, 0.4135526703404529, 0.039269143981592994, 0.017370520824832574, 0.013350646676761764, 0.013350646676761764, 0.03748171843056168, 0.013350646676761764, 0.013350667964134897, 0.013350646942853928, 0.10661388747394085, 0.03218568794961486, 0.029295789343970164, 0.03645831931914602]	8.0	0.4135526703404529	17.0	0.10661388747394085
20	0	5	3172.0	[0.011552390642464161, 0.011552390642464161, 0.011552390642464161, 0.06531887780874968, 0.011552390642464161, 0.011552390642464161, 0.16310366634279488, 0.12540006246417762, 0.011552390828728675, 0.07182904873043298, 0.011552390642464161, 0.011552390642464161, 0.011552390828728675, 0.011552390642464161, 0.011552390642464161, 0.011552390642464161, 0.011552390828728675, 0.18951010033488275, 0.011552390642464161, 0.011552390642464161, 0.17318556047976016]	17.0	0.18951010033488275	20.0	0.17318556047976016
