user_id	post_name	u_interactions_f	u_text_f	u_sentiment_c	u_sentiment_f	u_topic_c	u_topic_o
538	2480	114	113	2	0.659	3	[0.05374562, 0.0, 0.0, 0.36585304, 0.0, 0.0, 0.27512127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
539	4831	16	94	2	0.929	13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.79740816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
540	24566	3	93	0	0.0	31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.76722229, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
541	48397	3	67	2	1.0	42	[0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.17405696, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.13717341, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.01120615, 0.24052373]
542	28925	3	98	2	0.872	33	[0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.16749641, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.32038873, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061, 0.01249061]
543	55933	3	101	0	0.0	13	[0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.21622412, 0.010105, 0.10908829, 0.010105, 0.27048776, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105, 0.010105]
544	24194	3	69	2	0.714	41	[0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524835, 0.01524842, 0.35956919, 0.01524835]
545	6544	3	139	1	0.504	31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.74049997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
546	6380	6	81	2	1.0	40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.76201975, 0.0, 0.0]
547	1347	5	103	0	0.0	3	[0.31083259, 0.0, 0.08624828, 0.38599989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
548	1989	3	139	0	0.0	0	[0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581, 0.02325581]
549	9581	7	77	2	1.0	13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44321132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17309502, 0.0, 0.0, 0.0, 0.0]
550	25129	3	90	2	1.0	25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.62285161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
551	29933	3	100	2	1.0	13	[0.0, 0.0, 0.09805345, 0.0, 0.0, 0.21421798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3657625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
552	6379	9	118	2	0.708	32	[0.08040912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05815881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.65997678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
553	5074	4	68	2	0.758	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46721864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25010529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
554	944	5	91	2	0.86	16	[0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.26992708, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.21177548, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414, 0.0126414]
555	22207	3	57	2	1.0	11	[0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.3698833, 0.01075559, 0.1891374, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559, 0.01075559]
556	7218	3	94	2	1.0	24	[0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.22004773, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.19854827, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059, 0.01418059]
557	30891	3	118	2	0.879	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49186087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06084, 0.0, 0.07737716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07360964, 0.0374746, 0.0, 0.0, 0.0, 0.0]
558	10788	4	64	0	0.0	3	[0.0, 0.0, 0.0, 0.43560496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17878629]
559	4421	3	79	0	0.0	30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.74864668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
560	12357	11	133	2	1.0	22	[0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.17181885, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186, 0.0197186]
561	7896	10	106	2	1.0	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43661323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22862998]
562	13100	3	128	0	0.0	36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17036135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07315589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0686747, 0.0, 0.0, 0.0, 0.49475726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
563	7509	5	51	2	1.0	16	[0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.43927163, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067, 0.01335067]
564	14616	3	95	2	1.0	31	[0.07624006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22019294, 0.0, 0.099827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29482755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
565	15708	4	58	2	0.633	31	[0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.27466506, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.29397997, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085, 0.01052085]
566	17098	3	79	0	0.0	31	[0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.3032144, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013, 0.01659013]
567	1167	30	118	0	0.0	27	[0.0, 0.0, 0.04500791, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1014091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05020753, 0.0, 0.55451626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06404448]
568	12944	4	47	2	1.0	14	[0.01076318, 0.24375273, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.31495681, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318, 0.01076318]
569	3497	8	95	2	0.84	5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.5781377, 0.0, 0.06981742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09614128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
570	11909	3	136	2	0.857	36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.78210676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
571	4494	4	65	2	0.769	22	[0.0, 0.0, 0.0, 0.0, 0.22332379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30015925, 0.0, 0.0, 0.1311938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
572	28254	4	80	2	1.0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41108811, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20808302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
573	3245	8	124	2	0.764	14	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28123799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46033415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
574	7980	6	109	0	0.0	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.63479406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
575	26724	3	85	2	1.0	19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12641798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1661223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13238858, 0.12214112, 0.0, 0.0, 0.0, 0.12021268, 0.0, 0.0]
576	23939	3	86	2	1.0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24025242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10554214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12039777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13539679, 0.0, 0.0, 0.0923797]
577	5313	11	112	2	0.88	4	[0.0, 0.0, 0.0, 0.0, 0.79419643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
578	30052	5	91	0	0.0	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46355835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20608722, 0.0, 0.0, 0.10857715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
579	15205	4	112	3	0.7	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15843292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08703189, 0.0, 0.0, 0.45530125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
580	14791	3	122	2	0.617	26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.79973602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
581	1476	5	104	0	0.0	41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.79213387, 0.0]
582	827	3	67	2	1.0	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19124658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43274462, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
583	8203	3	45	2	1.0	34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.23130019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43626347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
584	17871	3	116	2	0.67	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30459738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30150193, 0.0, 0.0, 0.0, 0.18911792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
585	13081	3	61	2	0.796	30	[0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.15105675, 0.01295738, 0.01295738, 0.01295738, 0.31769058, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738, 0.01295738]
586	2516	21	94	0	0.0	15	[0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.18507978, 0.38365906, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856, 0.01051856]
587	16660	7	80	2	0.929	13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.79578751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
588	15597	3	110	2	0.885	24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28847143, 0.0, 0.13421308, 0.0, 0.0, 0.0, 0.0, 0.14127444, 0.0, 0.0, 0.0, 0.0, 0.11806521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
589	17813	6	89	0	0.0	15	[0.24855123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34793553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
590	4219	5	96	2	1.0	38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.78462595, 0.0, 0.0, 0.0, 0.0]
